"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","29_LD_DD","AK",2.42,NA,2.42,2.42,2.42,NA,NA,2.42
"Wegener","29_LD_DD","GI",4.29,NA,4.29,4.29,4.29,NA,NA,4.29
"Wegener","29_LD_DD","KA",4.77,NA,4.77,4.77,4.77,NA,NA,4.77
"Wegener","29_LD_DD","MA",5.35,NA,5.35,5.35,5.35,NA,NA,5.35
"Wegener","29_LD_DD","MU",4.2,NA,4.2,4.2,4.2,NA,NA,4.2
"Wegener","29_LD_DD","RE",4.72,NA,4.72,4.72,4.72,NA,NA,4.72
"Wegener","29_LD_DD","UM",5.5,NA,5.5,5.5,5.5,NA,NA,5.5
"Wegener","29_LD_DD","VA",4.3,NA,4.3,4.3,4.3,NA,NA,4.3
"Wegener","29_LD_DD","YE",4.14,NA,4.14,4.14,4.14,NA,NA,4.14
