Variable,Description
TS,Earth Skin Temperature (C) 
T2M,Temperature at 2 Meters (C) 
QV2M,Specific Humidity at 2 Meters (g/kg) 
RH2M,Relative Humidity at 2 Meters (%) 
T2MDEW,Dew/Frost Point at 2 Meters (C) 
T2MWET,Wet Bulb Temperature at 2 Meters (C) 
TS_MAX,Earth Skin Temperature Maximum (C) 
TS_MIN,Earth Skin Temperature Minimum (C) 
T2M_MAX,Temperature at 2 Meters Maximum (C) 
T2M_MIN,Temperature at 2 Meters Minimum (C) 
T2M_RANGE,Temperature at 2 Meters Range (C) 
FROST_DAYS, Frost Days (Days) 
PRECTOTCORR,Precipitation Corrected (mm/day) 
ALLSKY_SFC_LW_DWN,All Sky Surface Longwave Downward Irradiance (W/m^2)
