"Trait","Sex","R","P","P_bonf","Method","Label"
"CCRT","F",-0.508685528487848,0.161975977439106,1,"pearson","CCRT_F"
"CCRT","M",0.0621193606444239,0.873857710785485,1,"pearson","CCRT_M"
"CSM","F",-0.0352488468587661,0.9282659477218,1,"pearson","CSM_F"
"CSM","M",0.313149711943573,0.411915330438284,1,"pearson","CSM_M"
"Dia","F",-0.39176908120466,0.297054716166737,1,"pearson","Dia_F"
"DT_A","F",0.173815962770772,0.654699191357766,1,"pearson","DT_A_F"
"DT_A","M",0.186300314225538,0.631278530881985,1,"pearson","DT_A_M"
"DT_P",NA,0.762147857989025,0.0169695981124502,0.559996737710856,"pearson","DT_P_NA"
"DW","F",0.11517105258205,0.76795345840813,1,"pearson","DW_F"
"DW","M",-0.314148365435278,0.410344935613455,1,"pearson","DW_M"
"Fec","F",-0.845749963886968,0.00406755836658877,0.134229426097429,"pearson","Fec_F"
"HSM","F",-0.515610909480395,0.155381508805497,1,"pearson","HSM_F"
"HSM","M",-0.756397802062667,0.0183369166956492,0.605118250956424,"pearson","HSM_M"
"LA_AbsPhase","B",0.457818575269942,0.21526943720045,1,"pearson","LA_AbsPhase_B"
"LA_Activity","B",0.626935682706542,0.0707647442282417,1,"pearson","LA_Activity_B"
"LA_CircPhase","B",0.49059022952292,0.179955280563307,1,"pearson","LA_CircPhase_B"
"LA_NDlog2","B",0.320333927188647,0.400679125407254,1,"pearson","LA_NDlog2_B"
"LA_Period","B",-0.631591160578607,0.0680754435086194,1,"pearson","LA_Period_B"
"LS","F",-0.67813148146657,0.0446775363182843,1,"pearson","LS_F"
"LS","M",-0.755488293680598,0.0185596788217928,0.612469401119161,"pearson","LS_M"
"Pgm_T4","F",0.00925778917339384,0.981141533721904,1,"pearson","Pgm_T4_F"
"Pgm_T5","F",-0.170574131046877,0.660824661615585,1,"pearson","Pgm_T5_F"
"Pgm_T6","F",-0.154610001680318,0.691238038912233,1,"pearson","Pgm_T6_F"
"Pgm_Total","F",-0.154710961811215,0.691044444110721,1,"pearson","Pgm_Total_F"
"SR","F",-0.488302080117228,0.182305889283785,1,"pearson","SR_F"
"SR","M",-0.658076783190108,0.0539972372683345,1,"pearson","SR_M"
"TL","F",0.71015371360286,0.0320600055079739,1,"pearson","TL_F"
"TL","M",0.472187902264156,0.199349668062229,1,"pearson","TL_M"
"Via",NA,-0.812070534876213,0.00784122809751068,0.258760527217853,"pearson","Via_NA"
"WA_L","F",0.063334925486462,0.87140567032469,1,"pearson","WA_L_F"
"WA_L","M",0.341208018138848,0.368851448242095,1,"pearson","WA_L_M"
"WA_R","F",0.078891120694607,0.840115548856916,1,"pearson","WA_R_F"
"WA_R","M",0.327428896601901,0.38972299405565,1,"pearson","WA_R_M"
